student_id,age,height_cm,weight_kg,score_math,score_physics,study_effort,gender,city,passed_exam
1,22.0,159.6,75.7,53.5,55.4,high,M,Ostrava,1
2,,179.6,59.9,90.3,100.0,medium,M,Ostrava,1
3,24.0,169.9,64.3,81.4,84.1,medium,M,Prague,1
4,23.0,176.8,93.1,76.2,96.4,high,M,Brno,1
5,21.0,,75.1,91.0,71.0,high,M,Brno,1
6,21.0,165.3,55.3,,100.0,low,F,Brno,0
7,20.0,167.8,51.5,60.5,63.6,very-high,M,Prague,1
8,25.0,185.7,70.5,57.2,35.3,high,M,Ostrava,1
9,23.0,167.3,56.2,93.6,95.4,very-high,F,Brno,1
10,24.0,159.1,56.4,54.1,30.5,high,F,Brno,1
11,20.0,173.2,73.4,68.1,63.2,high,M,Prague,1
12,,165.2,77.3,38.5,,medium,F,Brno,0
13,24.0,,81.8,53.6,,very-high,F,Prague,1
14,21.0,189.6,64.8,,78.4,very-high,M,Ostrava,0
15,21.0,181.3,81.1,100.0,79.6,low,F,Prague,1
16,21.0,352.0,63.7,52.9,75.6,low,,Prague,0
17,22.0,190.7,70.0,83.5,54.6,medium,M,Prague,1
18,23.0,166.6,77.5,63.0,66.4,high,M,Prague,1
19,22.0,398.8,73.4,59.0,95.7,very-high,F,Ostrava,1
20,21.0,174.3,84.5,39.9,93.4,low,F,Ostrava,0
21,23.0,188.3,72.6,90.2,82.2,medium,M,Brno,1
22,20.0,399.4,80.1,89.5,83.8,medium,M,Ostrava,1
23,21.0,170.8,51.9,54.7,37.5,very-high,M,Ostrava,1
24,22.0,165.2,71.3,73.0,64.1,high,F,Brno,1
25,22.0,165.9,63.2,,30.1,high,F,Ostrava,0
26,24.0,169.1,62.4,71.0,81.5,medium,M,Prague,1
27,21.0,189.1,,81.8,67.8,medium,F,Prague,1
28,23.0,350.2,60.1,93.9,100.0,medium,F,Brno,1
29,23.0,159.4,89.9,82.3,81.9,low,M,Brno,1
30,20.0,176.3,76.7,68.4,47.6,very-high,M,Brno,1
31,23.0,169.4,79.7,43.5,38.1,high,F,Prague,0
32,21.0,164.5,63.3,97.3,86.0,very-high,F,Ostrava,1
33,20.0,165.4,83.5,37.8,87.7,very-high,F,Prague,1
34,25.0,169.6,70.4,60.0,56.8,medium,F,Brno,1
35,,,56.0,42.6,45.2,high,M,Ostrava,0
36,24.0,168.9,88.1,39.8,83.8,very-high,M,Ostrava,1
37,22.0,175.5,68.1,100.0,47.5,high,F,Prague,1
38,20.0,183.6,49.0,88.3,99.8,low,M,Brno,1
39,23.0,171.4,69.8,69.8,83.0,medium,M,Prague,1
40,22.0,,58.9,34.4,39.6,low,M,Ostrava,0
41,20.0,,1000.5,53.9,60.2,very-high,M,Prague,1
42,22.0,169.4,,75.7,,high,M,Prague,1
43,20.0,174.1,1003.8,41.9,52.9,low,M,Brno,0
44,25.0,170.2,67.7,68.0,83.8,high,M,Brno,1
45,21.0,171.1,61.7,72.9,100.0,high,M,Ostrava,1
46,23.0,159.8,999.6,59.1,95.4,medium,F,Prague,1
47,22.0,179.9,66.2,61.4,,low,F,Prague,0
48,23.0,175.8,,37.0,77.8,high,F,Prague,0
49,23.0,160.8,,74.5,70.9,medium,F,Ostrava,1
50,21.0,170.0,77.1,87.4,51.7,high,F,Ostrava,1
51,,,62.2,64.1,84.6,medium,M,Brno,1
52,24.0,165.1,66.6,100.0,88.8,very-high,F,Brno,1
53,25.0,164.8,87.9,77.5,74.6,medium,F,Brno,1
54,25.0,175.3,61.8,41.2,100.0,medium,F,Prague,0
55,23.0,,64.6,33.5,45.2,very-high,M,Prague,0
56,25.0,165.3,70.4,88.0,66.5,medium,M,Brno,1
57,20.0,179.3,1002.6,42.7,21.5,low,M,Prague,0
58,21.0,185.9,68.3,80.5,64.3,low,M,Brno,1
59,20.0,164.3,88.8,100.0,51.6,high,F,Ostrava,1
60,22.0,184.3,53.9,89.3,40.7,high,F,Brno,1
61,22.0,170.4,73.4,69.0,42.2,high,M,Ostrava,1
62,21.0,180.0,,80.5,86.4,low,,Prague,1
63,24.0,182.3,57.9,81.4,94.0,low,F,Brno,1
64,22.0,173.4,77.3,76.7,86.9,low,M,Prague,1
65,21.0,160.1,91.9,100.0,,medium,M,Ostrava,1
66,23.0,191.1,79.4,65.0,95.6,medium,M,Ostrava,1
67,20.0,169.4,73.9,,47.8,medium,M,Ostrava,0
68,24.0,164.1,86.0,99.0,100.0,medium,M,Prague,1
69,20.0,159.1,66.2,55.2,58.4,very-high,M,Prague,1
70,,173.4,67.2,51.9,,medium,M,Prague,0
71,24.0,181.3,87.7,51.0,36.3,medium,M,Prague,0
72,21.0,159.7,85.7,25.0,,high,F,Ostrava,0
