Leaf height,Stalk thickness,Tree type
12.3,0.23,maple
13.43,0.35,walnut
8.78,0.12,cherry
10.54,0.24,maple
13.23,0.36,walnut
8.37,0.22,maple
8.06,0.12,cherry
10.13,0.14,cherry
14.36,0.33,walnut
11.06,0.18,maple
13.64,0.33,walnut
6.72,0.12,cherry
12.4,0.25,maple
14.26,0.32,walnut
14.98,0.16,maple
4.34,0.1,cherry
8.78,0.13,cherry
12.19,0.21,maple
11.99,0.36,walnut
8.99,0.16,cherry
13.95,0.21,maple
15.29,0.19,maple
8.78,0.15,cherry
5.58,0.1,cherry
12.3,0.24,maple
13.43,0.34,walnut
8.78,0.08,cherry
10.0,0.21,maple
13.0,0.39,walnut
9.6,0.21,maple
9.5,0.1,cherry
11.4,0.24,maple
17.9,0.31,walnut
7.4,0.12,cherry
4.0,0.05,cherry
8.2,0.11,cherry
12.4,0.35,walnut
13.2,0.21,maple
7.9,0.08,cherry
10.5,0.1,cherry
15.0,0.35,walnut
8.0,0.1,cherry
12.5,0.26,maple
13.5,0.23,maple
8.1,0.11,cherry
10.5,0.21,maple
15.5,0.16,maple
16.0,0.33,walnut
6.8,0.13,cherry
10.3,0.15,cherry
13.2,0.18,maple
15.5,0.36,walnut
11.0,0.3,walnut
13.5,0.25,maple
7.1,0.12,cherry
13.0,0.4,walnut
7.5,0.22,maple
14.7,0.3,walnut
10.8,0.16,cherry
10.5,0.21,maple
10.3,0.37,walnut
10.0,0.1,cherry
11.5,0.31,walnut
12.3,0.27,maple
13.43,0.37,walnut
8.78,0.13,cherry
11.6,0.18,maple
10.3,0.15,cherry
16.0,0.2,maple
15.5,0.21,maple
16.5,0.24,maple
19.5,0.2,maple
17.5,0.2,maple
13.0,0.17,maple
10.0,0.24,maple
11.8,0.24,maple
10.56,0.21,maple
11.1,0.22,maple
9.8,0.18,maple
16.0,0.21,maple
18.0,0.33,walnut
10.0,0.12,cherry
18.9,0.34,walnut
9.0,0.1,cherry
15.1,0.26,maple
10.2,0.09,cherry
9.2,0.11,cherry
5.0,0.22,maple
9.2,0.13,cherry
14.9,0.34,walnut
7.5,0.29,maple
10.9,0.2,maple
9.7,0.09,cherry
10.5,0.11,cherry
16.0,0.24,maple
10.0,0.21,maple
10.0,0.24,maple
10.5,0.12,cherry
11.0,0.14,cherry
12.5,0.22,maple
11.91,0.2,maple
13.02,0.37,walnut
8.47,0.13,cherry
10.36,0.19,maple
13.49,0.33,walnut
8.78,0.31,maple
7.84,0.13,cherry
10.11,0.1,cherry
14.14,0.25,walnut
11.37,0.22,maple
14.08,0.32,walnut
6.94,0.12,cherry
12.86,0.16,maple
14.05,0.35,walnut
14.56,0.2,maple
4.26,0.14,cherry
9.15,0.16,cherry
12.26,0.24,maple
11.5,0.33,walnut
9.04,0.08,cherry
13.81,0.2,maple
15.39,0.26,maple
8.54,0.17,cherry
