Leaf height,Leaf width,Tree type
12.3,14.26,maple
13.43,5.37,walnut
8.78,3.93,cherry
10.54,12.92,maple
13.23,5.58,walnut
8.37,8.16,maple
8.06,3.62,cherry
10.13,5.37,cherry
14.36,6.82,walnut
11.06,12.19,maple
13.64,5.79,walnut
6.72,3.93,cherry
12.4,15.19,maple
14.26,5.99,walnut
14.98,16.33,maple
4.34,3.2,cherry
8.78,5.37,cherry
12.19,13.95,maple
11.99,5.17,walnut
8.99,4.96,cherry
13.95,16.74,maple
15.29,17.77,maple
8.78,6.2,cherry
5.58,4.03,cherry
12.3,14.26,maple
13.43,5.37,walnut
8.78,3.93,cherry
10.0,14.0,maple
13.0,5.5,walnut
9.6,11.8,maple
9.5,5.5,cherry
11.4,13.1,maple
17.9,7.7,walnut
7.4,4.1,cherry
4.0,3.0,cherry
8.2,4.4,cherry
12.4,4.8,walnut
13.2,16.9,maple
7.9,4.9,cherry
10.5,6.8,cherry
15.0,6.8,walnut
8.0,5.0,cherry
12.5,14.0,maple
13.5,11.0,maple
8.1,5.2,cherry
10.5,11.9,maple
15.5,20.1,maple
16.0,8.5,walnut
6.8,4.2,cherry
10.3,5.5,cherry
13.2,16.3,maple
15.5,7.1,walnut
11.0,13.3,walnut
13.5,9.7,maple
7.1,4.6,cherry
13.0,5.3,walnut
7.5,7.8,maple
14.7,6.7,walnut
10.8,5.6,cherry
10.5,10.5,maple
10.3,5.8,walnut
10.0,5.2,cherry
11.5,5.0,walnut
12.3,14.26,maple
13.43,5.37,walnut
8.78,3.93,cherry
11.6,14.51,maple
10.3,5.1,cherry
16.0,22.6,maple
15.5,18.3,maple
16.5,17.0,maple
19.5,22.7,maple
17.5,11.5,maple
13.0,9.0,maple
10.0,11.9,maple
11.8,13.4,maple
10.56,9.7,maple
11.1,13.1,maple
9.8,11.5,maple
16.0,19.3,maple
18.0,7.7,walnut
10.0,4.5,cherry
18.9,8.5,walnut
9.0,3.8,cherry
15.1,13.2,maple
10.2,6.3,cherry
9.2,4.0,cherry
5.0,11.0,maple
9.2,5.7,cherry
14.9,6.1,walnut
7.5,10.0,maple
10.9,13.4,maple
9.7,5.9,cherry
10.5,6.5,cherry
16.0,15.4,maple
10.0,14.5,maple
10.0,13.5,maple
10.5,5.5,cherry
11.0,7.0,cherry
12.5,14.8,maple
11.90633,13.90584,maple
13.0211,5.691699,walnut
8.471136,4.124947,cherry
10.35727,12.57675,maple
13.48817,5.123309,walnut
8.778359,7.929436,maple
7.838978,3.615441,cherry
10.10929,5.085692,cherry
14.14032,6.798666,walnut
11.37436,12.31949,maple
14.08101,5.866856,walnut
6.943657,3.652114,cherry
12.85614,14.69637,maple
14.04629,6.119904,walnut
14.56001,16.41633,maple
4.257482,3.618284,cherry
9.145931,5.616157,cherry
12.26314,13.75498,maple
11.50346,5.467785,walnut
9.036612,4.905192,cherry
13.81441,16.96678,maple
15.38589,17.71087,maple
8.537843,6.00804,cherry
5.244145,4.259449,cherry
12.7371,14.70507,maple
13.501,5.74767,walnut
8.352714,3.849796,cherry
9.665265,13.82318,maple
13.08605,5.263091,walnut
9.714879,11.93014,maple
9.980431,5.911447,cherry
11.51514,12.75623,maple
17.71834,7.746034,walnut
7.264321,4.588107,cherry
3.835459,2.687901,cherry
8.521338,4.493766,cherry
12.04705,5.285983,walnut
13.46773,17.05652,maple
7.640482,5.343106,cherry
10.94252,7.168232,cherry
15.36186,6.769671,walnut
8.161005,5.370384,cherry
12.03494,13.52159,maple
13.02345,11.24393,maple
8.09991,4.760253,cherry
10.43479,12.16922,maple
15.70454,19.8458,maple
15.54045,8.477347,walnut
7.258541,4.084243,cherry
10.09052,5.232735,cherry
12.77674,16.06413,maple
15.76269,7.143565,walnut
11.48269,13.49987,maple
13.17898,9.596861,maple
7.492155,4.992688,cherry
13.27974,5.243797,walnut
7.923809,8.289481,maple
14.92106,7.099142,walnut
10.95954,5.147031,cherry
10.22227,10.51394,maple
10.54281,5.67357,cherry
10.06274,5.245554,cherry
11.43676,5.270066,walnut
12.65873,14.58761,maple
13.7253,4.968709,walnut
8.287875,4.382977,cherry
11.76541,14.87437,maple
9.879121,4.767083,cherry
16.12616,22.9223,maple
15.22126,18.35813,maple
16.97062,16.89383,maple
19.74792,23.12737,maple
17.90589,11.41859,maple
13.45137,8.900704,maple
9.700636,11.89274,maple
12.1246,13.87169,maple
10.18712,9.665923,maple
11.05827,13.2067,maple
10.14659,11.94803,maple
16.29622,19.05139,maple
17.65743,8.135793,walnut
10.45446,4.071239,cherry
19.0248,8.506132,walnut
9.168956,3.911203,cherry
15.39826,13.60228,maple
10.69027,5.829441,cherry
8.973157,4.286108,cherry
4.839341,10.94833,maple
8.948302,5.376336,cherry
14.9324,6.430499,walnut
7.307597,10.00828,maple
10.8001,13.78445,maple
9.583381,6.13161,cherry
10.14031,6.178886,cherry
15.93047,15.5789,maple
9.650546,14.82379,maple
9.840038,13.55722,maple
10.03064,5.452611,cherry
10.6564,7.141212,cherry
12.48276,14.35812,maple
11.57841,15.15263,maple
12.72702,5.922039,walnut
8.493635,3.231955,cherry
10.01379,13.09639,maple
12.25737,4.594582,walnut
8.58555,7.780922,maple
7.793227,4.098587,cherry
11.10215,5.05873,cherry
15.27258,6.025364,walnut
12.02076,12.45869,maple
14.57055,5.290011,walnut
6.567542,3.199795,cherry
13.36749,14.23605,maple
14.28509,6.457899,walnut
14.56297,17.07591,cherry
4.819514,3.542477,cherry
8.725931,4.969496,cherry
11.24323,14.08941,maple
11.87855,5.523005,walnut
8.195673,4.760319,cherry
14.89429,16.37663,maple
15.22901,18.20065,maple
9.540329,5.314801,cherry
4.953789,3.378468,cherry
11.03445,5.652442,walnut
11.96681,14.01023,maple
12.72536,6.329779,walnut
9.708017,4.868689,cherry
9.653071,14.95031,maple
12.02387,5.239856,walnut
10.39699,11.37172,maple
10.3148,6.102883,cherry
10.65235,13.87017,maple
17.19158,7.291944,walnut
8.226933,3.393163,cherry
4.430586,3.775365,cherry
8.190438,4.59572,cherry
12.75702,4.152799,walnut
14.01228,17.6051,maple
7.945641,5.607741,cherry
9.522891,6.988807,cherry
14.34064,6.302128,walnut
7.948486,4.45554,cherry
13.02427,13.25158,maple
13.96225,11.83498,maple
8.812839,4.349402,cherry
10.75305,11.67012,maple
14.66522,20.05708,maple
16.3109,8.033723,walnut
7.568612,3.450308,maple
10.65845,4.673298,cherry
13.7348,16.93443,maple
14.83431,6.860702,walnut
11.48727,13.2426,maple
13.63497,10.32608,maple
7.151185,5.072068,cherry
13.14256,5.784302,walnut
8.256297,8.678154,maple
15.61293,6.989596,walnut
10.59329,5.047101,cherry
10.03465,10.49353,maple
9.378353,6.375307,cherry
9.562923,6.156688,cherry
11.4699,5.236377,walnut
13.07245,13.36217,maple
13.61971,5.443881,walnut
8.535367,4.292373,cherry
11.2973,15.28315,maple
10.10517,5.338897,cherry
15.27696,22.83141,maple
15.71673,17.85021,maple
17.37398,16.14757,maple
18.78672,22.54557,maple
18.03447,11.33533,maple
12.95176,8.24209,maple
10.85366,12.63667,maple
12.2156,14.25728,maple
11.31505,9.856214,maple
10.36221,12.81727,maple
10.34592,11.63934,maple
16.76394,18.34255,maple
18.52134,6.701636,walnut
10.95021,4.054463,cherry
18.60317,8.418968,walnut
8.541073,3.20124,cherry
14.90383,12.90532,maple
9.619276,6.571227,cherry
8.631962,3.063355,cherry
4.110509,10.49159,maple
9.965775,5.771791,cherry
15.03868,6.092248,walnut
6.777414,9.881983,maple
10.90005,13.17437,maple
10.64948,5.455469,cherry
10.63744,6.17314,cherry
15.37604,15.68271,maple
11.21877,5.194594,walnut
10.61965,15.25,maple
10.58464,12.89319,maple
9.598161,6.328874,cherry
10.31503,7.633844,cherry
12.90323,15.67235,maple
7.5,3.8,cherry
9.7,5.6,cherry
11.8,14.4,maple
18.0,9.0,walnut
14.0,6.3,walnut
14.5,7.0,walnut
15.5,8.0,walnut
14.0,16.0,maple
18.0,9.0,walnut
14.5,13.5,maple
12.0,7.5,cherry
18.5,9.0,walnut
8.5,4.5,cherry
11.0,7.0,cherry
18.5,16.0,maple
14.5,16.5,maple
14.8,17.5,maple
18.0,10.5,walnut
11.4,6.4,cherry
19.9,8.9,walnut
11.0,14.0,maple
8.4,5.5,cherry
9.5,6.5,cherry
14.5,15.6,walnut
16.2,19.3,maple
10.0,5.0,cherry
16.0,19.0,maple
11.6,6.0,cherry
18.0,9.3,walnut
10.0,6.5,cherry
16.0,14.7,maple
15.5,13.5,maple
19.3,10.4,walnut
8.5,5.0,cherry
16.5,14.0,maple
15.1,16.3,maple
6.7,3.5,cherry
14.0,16.4,maple
17.3,8.6,walnut
10.0,6.4,cherry
14.2,16.3,maple
17.1,8.4,walnut
12.5,15.0,maple
19.1,13.8,walnut
16.2,9.7,walnut
15.8,8.0,walnut
11.0,6.5,cherry
15.0,17.5,maple
11.5,6.5,cherry
17.0,8.5,walnut
11.5,13.0,maple
16.0,6.0,walnut
13.5,8.5,walnut
9.0,5.4,cherry
10.0,4.5,cherry
17.5,7.5,walnut
11.8,5.0,cherry
11.6,13.0,maple
7.5,3.8,cherry
25.5,29.7,maple
12.5,6.5,cherry
15.9,8.5,walnut
13.5,20.0,maple
17.3,12.0,walnut
11.0,5.3,cherry
14.4,17.1,maple
17.0,8.5,walnut
11.5,13.5,maple
15.8,7.6,walnut
8.0,5.4,cherry
12.75,14.65,maple
13.5,8.0,cherry
18.1,10.5,walnut
12.3,16.5,maple
6.5,4.3,cherry
7.2,5.0,cherry
18.0,9.7,walnut
12.5,6.5,cherry
12.2,6.4,cherry
25.0,28.0,maple
16.5,17.5,maple
6.5,4.5,cherry
11.0,5.0,walnut
7.0,4.0,cherry
12.0,14.0,maple
16.4,19.0,maple
16.7,21.7,maple
18.5,20.1,maple
16.9,21.6,cherry
21.3,11.0,walnut
19.1,23.2,maple
17.1,20.5,maple
18.7,10.8,walnut
18.5,25.0,maple
15.5,7.5,cherry
16.5,17.0,maple
16.8,8.4,walnut
10.9,7.7,cherry
16.9,18.5,maple
16.0,8.2,walnut
9.9,5.3,cherry
13.5,9.0,walnut
13.8,6.2,cherry
16.5,17.5,maple
10.8,6.2,cherry
20.6,22.3,maple
12.8,8.0,walnut
14.3,6.8,walnut
5.0,2.7,cherry
17.4,12.3,walnut
11.8,6.4,cherry
17.9,19.4,maple
16.0,7.5,cherry
11.5,7.6,walnut
8.0,4.0,cherry
15.5,6.9,walnut
19.5,24.3,maple
13.8,14.5,maple
15.1,8.0,walnut
10.2,5.7,cherry
15.2,19.4,maple
15.3,17.4,maple
16.6,6.9,walnut
7.7,5.4,maple
11.6,13.0,maple
7.5,3.8,cherry
15.5,16.5,maple
14.3,16.0,maple
11.4,13.9,maple
11.8,18.0,maple
10.5,17.7,maple
12.0,6.5,cherry
14.6,8.4,walnut
12.5,16.0,maple
16.6,19.8,maple
14.0,17.0,maple
14.7,6.6,walnut
16.0,6.0,walnut
16.0,17.0,maple
15.0,7.0,walnut
13.5,6.8,walnut
16.0,17.0,maple
19.0,10.0,walnut
10.0,5.0,cherry
16.5,8.1,walnut
14.4,17.5,maple
16.6,8.9,walnut
11.1,5.6,cherry
10.0,6.0,cherry
21.5,27.0,maple
12.7,13.4,maple
10.2,5.2,cherry
16.0,7.5,walnut
17.0,12.0,walnut
10.5,5.8,cherry
20.0,10.5,walnut
16.5,8.4,walnut
17.7,7.0,walnut
19.1,10.8,walnut
11.5,7.4,cherry
16.0,7.6,walnut
17.0,17.0,maple
17.9,18.0,maple
17.0,20.3,maple
15.0,8.0,walnut
11.8,6.8,cherry
14.5,8.0,walnut
11.1,5.5,cherry
11.6,13.0,maple
7.5,3.8,cherry
25.0,25.0,maple
16.5,18.5,maple
19.5,24.5,maple
10.0,5.5,cherry
16.0,8.0,walnut
13.5,6.0,walnut
16.0,18.5,maple
8.5,5.0,cherry
15.5,15.0,maple
9.0,5.0,cherry
5.0,2.5,cherry
20.0,17.5,maple
13.5,15.5,maple
12.0,6.0,cherry
16.0,18.5,maple
10.0,6.5,cherry
17.0,11.5,walnut
16.5,16.0,maple
12.3,12.2,maple
15.6,7.8,walnut
7.0,5.5,cherry
11.5,15.0,maple
14.5,8.0,walnut
16.0,7.0,cherry
15.3,20.2,maple
8.5,6.0,cherry
9.6,5.3,cherry
12.0,16.2,maple
13.0,6.2,cherry
19.0,24.0,maple
16.0,7.0,walnut
9.3,4.4,cherry
7.5,4.5,cherry
17.3,8.6,walnut
18.0,19.0,maple
17.4,19.0,maple
12.9,11.4,maple
11.0,5.0,cherry
10.5,5.0,cherry
21.5,14.0,walnut
10.0,5.1,cherry
18.0,19.5,maple
11.0,15.4,maple
19.5,11.0,walnut
7.1,4.5,cherry
12.5,13.5,maple
